"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
3x3x3;00:21.985;R B2 L2 U2 L' D2 B2 D2 B L F R' U2 B U' R' B U2 R';2019-07-29 18:21;no;no;1564415494480;
3x3x3;00:19.503;U' F2 L2 R2 U2 R2 U' F2 D2 B' R' F' R B D L2 R' B U2 R';2019-07-29 18:19;no;no;1564415494480;
3x3x3;00:20.346;D F U D L' F2 B D' B R' B' D' L2 B2 U D2 B2 D2 L2;2019-07-29 18:18;no;no;1564415494480;
3x3x3;00:20.829;U R' F' U2 R F L' D B' L' F' L2 F L2 F D2 B2 U2 B' D2;2019-07-29 18:17;no;no;1564415494480;
3x3x3;00:22.964;U2 F2 R2 U2 B R2 F2 U2 F2 L D' B2 U R2 B' L B2 U' R F2;2019-07-29 18:16;no;no;1564415494480;
3x3x3;00:21.084;D' R2 F L U R F' L2 F B' L F' B' L2 B' L2 U2 F2 B;2019-07-29 18:13;no;no;1564415494480;
3x3x3;00:21.230;U F2 L2 D2 B2 D' L2 F2 U' R B D' F' D2 B2 F' D R D' R';2019-07-29 18:12;no;no;1564415494480;
3x3x3;00:20.495;U' L2 B2 D L2 B2 L2 R U' L' D' U' B2 F R2 B' L F' U';2019-07-29 18:10;no;no;1564415494480;
3x3x3;00:20.627;R2 B2 U2 R F2 L' R' B2 R2 B' U R F2 U R' D2 L2 B2 F2;2019-07-29 18:09;no;no;1564415494480;
3x3x3;00:21.354;L2 U D' B L' F2 L2 U2 B U R D2 B2 D2 L' F2 R' U2 L2;2019-07-29 18:08;no;no;1564415494480;
3x3x3;00:20.849;D2 B2 L2 F2 R2 U R2 U B2 L' B U' F' D2 R D' U' L' F2 R';2019-07-29 18:07;no;no;1564415494480;
3x3x3;00:18.498;R2 L F' B R2 F L U' B' L B2 L2 U F2 D' B2 D' L2 B2 U';2019-07-29 17:59;no;no;1564415494480;
3x3x3;00:17.300;D' B2 D B2 L2 R2 D2 L2 U F2 U F D2 R' F R' D' L' F2 D2;2019-07-29 17:58;no;no;1564415494480;
3x3x3;00:17.344;D2 R2 D L2 R2 D2 R2 F2 D U2 L' B' U2 F2 L B2 U2 R' B2 U;2019-07-29 17:56;no;no;1564415494480;
